row_id,person_id,wave,match,person_cluster,interest_cluster,preference_cluster
0,0,1,0,1,0,1
1,0,1,0,1,0,1
2,0,1,1,1,0,1
3,0,1,1,1,0,1
4,0,1,1,1,0,1
5,0,1,0,1,0,1
6,0,1,0,1,0,1
7,0,1,0,1,0,1
8,0,1,1,1,0,1
9,0,1,0,1,0,1
10,1,1,0,1,1,0
11,1,1,0,1,1,0
12,1,1,0,1,1,0
13,1,1,1,1,1,0
14,1,1,0,1,1,0
15,1,1,0,1,1,0
16,1,1,0,1,1,0
17,1,1,0,1,1,0
18,1,1,1,1,1,0
19,1,1,0,1,1,0
20,2,1,0,2,0,0
21,2,1,0,2,0,0
22,2,1,0,2,0,0
23,2,1,0,2,0,0
24,2,1,0,2,0,0
25,2,1,0,2,0,0
26,2,1,0,2,0,0
27,2,1,0,2,0,0
28,2,1,0,2,0,0
29,2,1,0,2,0,0
30,3,1,0,1,1,2
31,3,1,0,1,1,2
32,3,1,0,1,1,2
33,3,1,1,1,1,2
34,3,1,0,1,1,2
35,3,1,0,1,1,2
36,3,1,0,1,1,2
37,3,1,0,1,1,2
38,3,1,1,1,1,2
39,3,1,0,1,1,2
40,4,1,0,2,0,1
41,4,1,0,2,0,1
42,4,1,0,2,0,1
43,4,1,1,2,0,1
44,4,1,0,2,0,1
45,4,1,0,2,0,1
46,4,1,0,2,0,1
47,4,1,0,2,0,1
48,4,1,1,2,0,1
49,4,1,0,2,0,1
50,5,1,0,1,0,1
51,5,1,0,1,0,1
52,5,1,0,1,0,1
53,5,1,1,1,0,1
54,5,1,0,1,0,1
55,5,1,0,1,0,1
56,5,1,0,1,0,1
57,5,1,0,1,0,1
58,5,1,1,1,0,1
59,5,1,0,1,0,1
60,6,1,0,1,1,1
61,6,1,0,1,1,1
62,6,1,0,1,1,1
63,6,1,1,1,1,1
64,6,1,0,1,1,1
65,6,1,0,1,1,1
66,6,1,0,1,1,1
67,6,1,0,1,1,1
68,6,1,1,1,1,1
69,6,1,0,1,1,1
70,7,1,0,1,1,1
71,7,1,1,1,1,1
72,7,1,1,1,1,1
73,7,1,1,1,1,1
74,7,1,1,1,1,1
